id,title,series,size,medium,price,status,year,images,description,details
echoes-of-closeness,Echoes of Closeness,Attachment,"36"" x 48""","Oil, gold leaf, and gesso on Belgian linen",2400,available,2026,attachment1.heic,,
silent-tether,The Silent Tether,Attachment,"30"" x 40""","Mixed media, ochre pigment, and wax on canvas",1850,available,2025,"https://images.unsplash.com/photo-1579783928621-7a13d66a6211?auto=format&fit=crop&w=1200&q=80, https://images.unsplash.com/photo-1579783900882-c0d3dad7b119?auto=format&fit=crop&w=1200&q=80","Capturing the quiet weight of long-distance connections. Textured layers of wax and raw pigment create a map-like surface, punctuated by deep vertical fissures that represent physical separation but spiritual alignment.",Finished with a protective matte varnish. Framed in a minimalist raw maple float frame. Signed and dated on the lower right corner.
crimson-catharsis,Crimson Catharsis,Rage,"40"" x 40""","Acrylic, charcoal, and marble dust on raw canvas",2100,available,2026,"https://images.unsplash.com/photo-1605721911519-3dfeb3be25e7?auto=format&fit=crop&w=1200&q=80, https://images.unsplash.com/photo-1541701494587-cb58502866ab?auto=format&fit=crop&w=1200&q=80","A raw, explosive expression of suppressed energy breaking free. Violent palette knife strokes of cadmium red contrast sharply against deep charcoal black, with a rich, gritty texture achieved by mixing marble dust directly into the pigments.","Unframed, heavy-duty gallery wrap canvas (1.5"" profile). Sides are painted raw canvas black. Sealed with a satin UV-protective coating."
inner-tempest,The Inner Tempest,Rage,"24"" x 36""",Acrylic paint and ink splatters on wood panel,1350,sold,2025,"https://images.unsplash.com/photo-1541701494587-cb58502866ab?auto=format&fit=crop&w=1200&q=80, https://images.unsplash.com/photo-1605721911519-3dfeb3be25e7?auto=format&fit=crop&w=1200&q=80","This piece channels emotional turbulence into a structured vortex. Dark gestural marks clash with splatters of liquid acrylic, creating an intense sense of motion and release that pulls the viewer into the canvas.",Mounted on an elegant solid birch wood panel with a natural wood edge finish. Ready to hang.
zen-flow,Zen Flow No. 4,Ink on paper,"18"" x 24""",Japanese Sumi ink and distilled water on handmade mulberry paper,850,available,2026,"https://images.unsplash.com/photo-1578301978693-85fa9c0320b9?auto=format&fit=crop&w=1200&q=80, https://images.unsplash.com/photo-1549887534-1541e9326642?auto=format&fit=crop&w=1200&q=80","A study of breath and motion. Created in a single, continuous gesture using a large sheep-hair brush, focusing on the beauty of imperfection (Wabi-Sabi) and the interplay of high-contrast ink gradients.",Hand-deckled edges. Mounted on acid-free backing board and framed under museum-grade UV anti-reflective glass with a sleek black metal frame.
fractured-lines,Fractured Lines,Ink on paper,"20"" x 20""",Fine-line archival ink and wash on cold-press paper,950,available,2026,"https://images.unsplash.com/photo-1549887534-1541e9326642?auto=format&fit=crop&w=1200&q=80, https://images.unsplash.com/photo-1578301978693-85fa9c0320b9?auto=format&fit=crop&w=1200&q=80","Intricate, repetitive organic patterns resembling natural geological formations, wood grains, or flowing river currents. The piece is structured around geometric boundaries that contrast with the organic nature of the ink lines.",Shipped in a custom minimalist black frame. Signed and dated by the artist in pencil on the front margins.
submerged-lights,Submerged Lights,Acrylic,"30"" x 30""",Heavy-body acrylic and modeling paste on panel,1600,available,2025,"https://images.unsplash.com/photo-1547891654-e66ed7edd96c?auto=format&fit=crop&w=1200&q=80, https://images.unsplash.com/photo-1541701494587-cb58502866ab?auto=format&fit=crop&w=1200&q=80","Capturing the reflection of city lights under water. The highly textured surface is built from multiple layers of transparent acrylic glaze, allowing light to penetrate and bounce off underlying gesso structures.",Cradled birch panel with sides painted matte black. Wired and ready to hang. Satin finish varnish.
neon-dreamscape,Neon Dreamscape,Digital art,"24"" x 36"" (Print)",Digital painting printed on Hahnemühle Photo Rag archival paper,450,available,2026,"https://images.unsplash.com/photo-1618005182384-a83a8bd57fbe?auto=format&fit=crop&w=1200&q=80, https://images.unsplash.com/photo-1634017839464-5c339ebe3cb4?auto=format&fit=crop&w=1200&q=80","A cyberpunk-inspired landscape detailing holographic geometry suspended over a wet, neon-lit urban alleyway. A synthesis of digital brushstrokes, photography manipulation, and custom lighting filters.","Limited edition print (1 of 10). Signed, numbered, and includes a certificate of authenticity. Shipped rolled in a heavy-duty tube or framed in black aluminum upon request (+ $150)."
cosmic-reverie,Cosmic Reverie,Album art,"12"" x 12"" (Vinyl Size)","Digital mixed media illustration, original music release mockup",350,available,2025,"https://images.unsplash.com/photo-1518609878373-06d740f60d8b?auto=format&fit=crop&w=1200&q=80, https://images.unsplash.com/photo-1550684848-fac1c5b4e853?auto=format&fit=crop&w=1200&q=80",Commissioned artwork designed for an ambient synthwave music vinyl cover. Blends surrealist elements like floating geometric crystals with retro 80s aesthetics and vaporwave gradient horizons.,Available as an exclusive rights digital file or as a signed high-gloss print on heavy art cardstock. Framed in a custom vinyl frame.
abstract-monolith,The Abstract Monolith,Album art,"12"" x 12""","Digital collage & graphic overlay, 300gsm matte print",320,sold,2025,"https://images.unsplash.com/photo-1550684848-fac1c5b4e853?auto=format&fit=crop&w=1200&q=80, https://images.unsplash.com/photo-1518609878373-06d740f60d8b?auto=format&fit=crop&w=1200&q=80","A dark, moody cover concept capturing a towering concrete structure in a desolate field. Explores themes of isolation, minimalist architecture, and raw industrial noise.",Limited run print. Numbered and stamped by the artist on the reverse. Frame included.
